City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
495,Sabha,LY,64.67,27.04,14.43,
496,Miles City,US,75.2,46.41,-105.84,
497,Funadhoo,MV,81.86,6.15,73.27,
498,Luangwa,ZM,80.74,-15.62,30.42,
499,Les Cayes,HT,76.44,18.2,-73.75,
501,Csakvar,HU,53.01,47.39,18.46,
502,Sao Joao Da Barra,BR,70.32,-21.64,-41.05,
503,Tsiroanomandidy,MG,72.63,-18.77,46.03,
505,Port Hardy,CA,53.6,50.7,-127.42,
506,Lubango,AO,63.52,-14.92,13.49,
507,Coxim,BR,78.98,-18.51,-54.76,
508,Ishigaki,JP,71.6,24.34,124.16,
509,Tallahassee,US,69.8,30.44,-84.28,
510,Kitui,KE,65.57,-1.37,38.01,
511,Zarkos,GR,55.99,39.62,22.13,
513,Diu,IN,77.83,20.71,70.98,
515,Van Buren,US,75.2,35.44,-94.35,
516,Kingsville,US,78.8,27.52,-97.86,
519,Dunedin,NZ,55.99,-45.87,170.5,
521,Uravakonda,IN,73.49,14.95,77.27,
522,Garmsar,IR,56.08,35.22,52.34,
524,Thinadhoo,MV,82.81,0.53,72.93,
525,Uvinza,TZ,73.36,-5.1,30.39,
526,Winnemucca,US,75.2,40.97,-117.74,
527,Sur,OM,69.26,22.57,59.53,
529,Hambantota,LK,75.2,6.12,81.12,
531,Longonjo,AO,64.83,-12.91,15.25,
532,Illapel,CL,62.26,-31.63,-71.17,
533,Havelock,US,57.0,34.88,-76.9,
535,Chadiza,ZM,71.42,-14.07,32.44,
536,Boa Vista,BR,89.6,2.82,-60.67,
540,Vyara,IN,73.02,21.12,73.4,
542,San Joaquin,US,80.6,37.93,-121.3,
543,Port Lincoln,AU,58.37,-34.73,135.87,
544,Multan,PK,64.4,30.2,71.48,
545,Morondava,MG,75.74,-20.28,44.28,
546,Atambua,ID,80.71,-9.11,124.89,
547,Tumbagaan,PH,81.54,5.37,120.31,
548,Sola,VU,81.63,-13.88,167.55,
550,Manzanillo,CU,75.65,20.34,-77.12,
551,Nakhon Thai,TH,71.98,17.1,100.84,
552,Kano,NG,64.4,12.0,8.52,
553,Sao Jose Da Coroa Grande,BR,78.24,-8.9,-35.15,
555,Mabaruma,GY,74.97,8.2,-59.78,
556,Mitsamiouli,KM,76.77,-11.38,43.28,
557,Chubbuck,US,70.0,42.92,-112.47,
559,Corpus Christi,US,73.4,27.8,-97.4,
561,Nicolas De Pierola,PE,68.0,-11.95,-76.7,
562,Ler,SS,76.53,8.3,30.14,
566,Singkawang,ID,76.95,0.9,109.0,
567,Ambon,ID,82.0,-3.7,128.18,
569,Oborniki,PL,50.0,52.65,16.81,
571,Acari,PE,66.42,-15.43,-74.62,
572,Martin,US,75.2,27.08,-80.42,
575,Mouila,GA,74.39,-1.87,11.06,
576,Saint-Pierre,RE,69.8,-21.34,55.48,
577,Bamboo,JM,75.99,18.39,-77.26,
578,Nyirtelek,HU,51.8,48.02,21.63,
579,Bucerias,MX,87.8,20.75,-105.33,
583,Bongandanga,CD,72.27,1.5,21.05,
584,Coruripe,BR,78.04,-10.13,-36.18,
585,Yantzaza,EC,72.5,-3.83,-78.76,
587,Msanga,TZ,65.93,-6.05,36.03,
588,Port Macquarie,AU,73.0,-31.43,152.92,
589,Aitape,PG,84.2,-3.14,142.35,
591,Bac Lieu,VN,77.72,9.29,105.72,
593,Lasa,IT,51.01,46.62,10.7,
594,Umm Lajj,SA,78.01,25.02,37.27,
595,Launceston,AU,62.6,-41.45,147.17,
596,Banawang,PH,77.0,14.61,120.39,
598,Poso,ID,81.0,-1.4,120.75,
600,Bathsheba,BB,80.6,13.22,-59.52,
601,Izvoru Barzii,RO,57.56,44.71,22.67,
607,Ibra,OM,58.57,22.69,58.53,
608,Araguaina,BR,75.4,-7.19,-48.21,
609,Charters Towers,AU,77.99,-20.1,146.27,
610,Astoria,US,57.99,46.19,-123.83,
611,Xai-Xai,MZ,72.03,-25.05,33.64,
612,Langsa,ID,73.38,4.47,97.97,
613,Kainantu,PG,70.63,-6.29,145.87,
614,Sambava,MG,72.55,-14.27,50.17,
615,Tura,IN,64.94,25.52,90.22,
616,Boditi,ET,54.03,6.97,37.87,
619,Gboko,NG,79.45,7.32,9.0,
620,Ballina,AU,73.0,-28.87,153.57,
623,Sicuani,PE,55.9,-14.27,-71.23,
624,Vanimo,PG,82.45,-2.67,141.3,
626,Taft,IR,57.2,31.75,54.21,
627,Vermillion,US,80.6,42.78,-96.93,
630,Riyadh,SA,64.4,24.69,46.72,
631,Fort Frances,CA,68.0,48.6,-93.4,
633,Khorixas,,65.79,-20.37,14.97,
634,Bajil,YE,78.8,15.06,43.29,
637,Tefe,BR,80.6,-3.35,-64.71,
639,Carmen,MX,80.6,18.63,-91.83,
641,Itaituba,BR,79.77,-4.28,-55.98,
643,Poum,NC,77.41,-20.23,164.02,
644,Wagar,SD,77.85,16.15,36.2,
646,Tuy Hoa,VN,74.44,13.08,109.3,
648,Puerto Escondido,MX,86.0,15.85,-97.07,
650,Tabuk,PH,73.31,17.42,121.44,
651,Praia,CV,77.0,14.92,-23.51,
653,Lethem,GY,83.16,3.38,-59.8,
655,Kampong Chhnang,KH,73.96,12.17,104.55,
657,Antofagasta,CL,60.8,-23.65,-70.4,
658,La Palma,US,80.6,33.85,-118.05,
661,General Pico,AR,73.49,-35.66,-63.76,
662,Akcaabat,TR,62.6,41.02,39.57,
663,Los Andes,CL,82.4,-32.83,-70.6,
664,Murzzuschlag,AT,59.0,47.6,15.68,
666,Turangi,NZ,60.35,-39.0,175.93,
667,Anastacio,BR,77.11,-20.48,-55.81,
668,Manono,CD,71.91,-7.3,27.42,
669,Sorong,ID,79.63,-0.88,131.25,
